org,name,full_name,url,private,archived,fork,default_branch,pushed_at,has_gitignore,has_readme,notebooks_ipynb,files_py,files_tex,files_md,files_yml,total_files,branches_count
quantum-materials-simulation-research,quantum-chemistry,Quantum-Materials-Simulation-Research/quantum-chemistry,https://github.com/Quantum-Materials-Simulation-Research/quantum-chemistry,False,False,False,main,2026-03-25T17:17:39Z,False,True,85,49,0,4,2,271,2
quantum-materials-simulation-research,Quantum-Chemistry-and-Computing-for-the-Curious,Quantum-Materials-Simulation-Research/Quantum-Chemistry-and-Computing-for-the-Curious,https://github.com/Quantum-Materials-Simulation-Research/Quantum-Chemistry-and-Computing-for-the-Curious,False,False,True,main,2026-03-02T16:50:03Z,False,True,11,0,0,1,0,13,1
quantum-materials-simulation-research,quantum-materials-simulation-research.github.io,Quantum-Materials-Simulation-Research/quantum-materials-simulation-research.github.io,https://github.com/Quantum-Materials-Simulation-Research/quantum-materials-simulation-research.github.io,False,False,False,main,2026-04-17T14:17:50Z,True,True,0,0,0,1,7,63,1
quantum-materials-simulation-research,quantum-monte-carlo,Quantum-Materials-Simulation-Research/quantum-monte-carlo,https://github.com/Quantum-Materials-Simulation-Research/quantum-monte-carlo,False,False,False,main,2026-02-26T03:19:49Z,False,True,17,0,0,1,2,62,2
quantum-materials-simulation-research,quantum-neural-state,Quantum-Materials-Simulation-Research/quantum-neural-state,https://github.com/Quantum-Materials-Simulation-Research/quantum-neural-state,False,False,False,main,2026-03-25T17:28:46Z,False,True,8,45,0,1,2,94,2
quantum-materials-simulation-research,variational-approximation,Quantum-Materials-Simulation-Research/variational-approximation,https://github.com/Quantum-Materials-Simulation-Research/variational-approximation,False,False,False,main,2026-02-26T03:19:28Z,False,True,0,0,0,1,2,25,2
